zip,default_state,county,county_state,state_abbreviation,county_code,zip_pop,zip_pop_in_county,n_counties,default_city
36003,AL,Autauga County,Autauga County,AL,1,,,,
36006,AL,Autauga County,Autauga County,AL,1,,,,
36008,AL,Autauga County,Autauga County,AL,1,,,,
36022,AL,Autauga County,Autauga County,AL,1,,,,
36051,AL,Autauga County,Autauga County,AL,1,,,,
36066,AL,Autauga County,Autauga County,AL,1,,,,
36067,AL,Autauga County,Autauga County,AL,1,,,,
36091,AL,Autauga County,Autauga County,AL,1,,,,
36703,AL,Autauga County,Autauga County,AL,1,,,,
36749,AL,Autauga County,Autauga County,AL,1,,,,
36758,AL,Autauga County,Autauga County,AL,1,,,,
36502,AL,Baldwin County,Baldwin County,AL,3,,,,
36507,AL,Baldwin County,Baldwin County,AL,3,,,,
36511,AL,Baldwin County,Baldwin County,AL,3,,,,
36526,AL,Baldwin County,Baldwin County,AL,3,,,,
36527,AL,Baldwin County,Baldwin County,AL,3,,,,
36530,AL,Baldwin County,Baldwin County,AL,3,,,,
36532,AL,Baldwin County,Baldwin County,AL,3,,,,
36535,AL,Baldwin County,Baldwin County,AL,3,,,,
36542,AL,Baldwin County,Baldwin County,AL,3,,,,
36549,AL,Baldwin County,Baldwin County,AL,3,,,,
36550,AL,Baldwin County,Baldwin County,AL,3,,,,
36551,AL,Baldwin County,Baldwin County,AL,3,,,,
36555,AL,Baldwin County,Baldwin County,AL,3,,,,
36559,AL,Baldwin County,Baldwin County,AL,3,,,,
36561,AL,Baldwin County,Baldwin County,AL,3,,,,
36562,AL,Baldwin County,Baldwin County,AL,3,,,,
36564,AL,Baldwin County,Baldwin County,AL,3,,,,
36567,AL,Baldwin County,Baldwin County,AL,3,,,,
36574,AL,Baldwin County,Baldwin County,AL,3,,,,
36576,AL,Baldwin County,Baldwin County,AL,3,,,,
36578,AL,Baldwin County,Baldwin County,AL,3,,,,
36579,AL,Baldwin County,Baldwin County,AL,3,,,,
36580,AL,Baldwin County,Baldwin County,AL,3,,,,
36016,AL,Barbour County,Barbour County,AL,5,,,,
36017,AL,Barbour County,Barbour County,AL,5,,,,
36027,AL,Barbour County,Barbour County,AL,5,,,,
36048,AL,Barbour County,Barbour County,AL,5,,,,
36053,AL,Barbour County,Barbour County,AL,5,,,,
36311,AL,Barbour County,Barbour County,AL,5,,,,
36317,AL,Barbour County,Barbour County,AL,5,,,,
36374,AL,Barbour County,Barbour County,AL,5,,,,
35034,AL,Bibb County,Bibb County,AL,7,,,,
35035,AL,Bibb County,Bibb County,AL,7,,,,
35042,AL,Bibb County,Bibb County,AL,7,,,,
35074,AL,Bibb County,Bibb County,AL,7,,,,
35111,AL,Bibb County,Bibb County,AL,7,,,,
35115,AL,Bibb County,Bibb County,AL,7,,,,
35184,AL,Bibb County,Bibb County,AL,7,,,,
35188,AL,Bibb County,Bibb County,AL,7,,,,
35456,AL,Bibb County,Bibb County,AL,7,,,,
36750,AL,Bibb County,Bibb County,AL,7,,,,
36792,AL,Bibb County,Bibb County,AL,7,,,,
36793,AL,Bibb County,Bibb County,AL,7,,,,
35013,AL,Blount County,Blount County,AL,9,,,,
35016,AL,Blount County,Blount County,AL,9,,,,
35031,AL,Blount County,Blount County,AL,9,,,,
35049,AL,Blount County,Blount County,AL,9,,,,
35063,AL,Blount County,Blount County,AL,9,,,,
35079,AL,Blount County,Blount County,AL,9,,,,
35097,AL,Blount County,Blount County,AL,9,,,,
35121,AL,Blount County,Blount County,AL,9,,,,
35126,AL,Blount County,Blount County,AL,9,,,,
35133,AL,Blount County,Blount County,AL,9,,,,
35146,AL,Blount County,Blount County,AL,9,,,,
35172,AL,Blount County,Blount County,AL,9,,,,
35180,AL,Blount County,Blount County,AL,9,,,,
35952,AL,Blount County,Blount County,AL,9,,,,
35957,AL,Blount County,Blount County,AL,9,,,,
35976,AL,Blount County,Blount County,AL,9,,,,
35980,AL,Blount County,Blount County,AL,9,,,,
